from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,9,59,2,-1,-1
2,0,9,59,2,-1,-1
0,4,25,55,2,-1,-1
4,0,25,55,2,-1,-1
0,6,33,72,2,-1,-1
6,0,33,72,2,-1,-1
0,7,47,53,2,-1,-1
7,0,47,53,2,-1,-1
0,8,47,49,2,-1,-1
8,0,47,49,2,-1,-1
0,9,17,71,2,-1,-1
9,0,17,71,2,-1,-1
0,12,39,55,2,-1,-1
12,0,39,55,2,-1,-1
0,13,34,45,2,-1,-1
13,0,34,45,2,-1,-1
0,17,12,20,2,-1,-1
17,0,12,20,2,-1,-1
0,18,18,67,2,-1,-1
18,0,18,67,2,-1,-1
0,19,15,49,2,-1,-1
19,0,15,49,2,-1,-1
0,20,55,51,2,-1,-1
20,0,55,51,2,-1,-1
0,21,54,77,2,-1,-1
21,0,54,77,2,-1,-1
1,2,8,70,2,-1,-1
2,1,8,70,2,-1,-1
1,3,44,27,2,-1,-1
3,1,44,27,2,-1,-1
1,6,19,48,2,-1,-1
6,1,19,48,2,-1,-1
1,8,28,31,2,-1,-1
8,1,28,31,2,-1,-1
1,11,45,68,2,-1,-1
11,1,45,68,2,-1,-1
1,12,25,33,2,-1,-1
12,1,25,33,2,-1,-1
1,13,38,27,2,-1,-1
13,1,38,27,2,-1,-1
1,15,35,59,2,-1,-1
15,1,35,59,2,-1,-1
1,16,40,62,2,-1,-1
16,1,40,62,2,-1,-1
2,6,25,41,2,-1,-1
6,2,25,41,2,-1,-1
2,8,37,49,2,-1,-1
8,2,37,49,2,-1,-1
2,9,12,64,2,-1,-1
9,2,12,64,2,-1,-1
2,12,31,45,2,-1,-1
12,2,31,45,2,-1,-1
2,13,35,32,2,-1,-1
13,2,35,32,2,-1,-1
2,14,47,19,2,-1,-1
14,2,47,19,2,-1,-1
2,18,28,44,2,-1,-1
18,2,28,44,2,-1,-1
2,19,12,16,2,-1,-1
19,2,12,16,2,-1,-1
2,21,48,43,2,-1,-1
21,2,48,43,2,-1,-1
3,7,21,52,2,-1,-1
7,3,21,52,2,-1,-1
3,10,8,34,2,-1,-1
10,3,8,34,2,-1,-1
3,11,8,61,2,-1,-1
11,3,8,61,2,-1,-1
3,13,36,68,2,-1,-1
13,3,36,68,2,-1,-1
3,14,13,89,2,-1,-1
14,3,13,89,2,-1,-1
3,17,61,29,2,-1,-1
17,3,61,29,2,-1,-1
3,18,68,48,2,-1,-1
18,3,68,48,2,-1,-1
3,19,59,51,2,-1,-1
19,3,59,51,2,-1,-1
3,20,35,51,2,-1,-1
20,3,35,51,2,-1,-1
3,21,5,52,2,-1,-1
21,3,5,52,2,-1,-1
4,10,32,74,2,-1,-1
10,4,32,74,2,-1,-1
4,12,43,43,2,-1,-1
12,4,43,43,2,-1,-1
4,13,21,52,2,-1,-1
13,4,21,52,2,-1,-1
4,14,31,62,2,-1,-1
14,4,31,62,2,-1,-1
4,15,35,20,2,-1,-1
15,4,35,20,2,-1,-1
4,16,21,32,2,-1,-1
16,4,21,32,2,-1,-1
4,19,32,31,2,-1,-1
19,4,32,31,2,-1,-1
4,20,36,66,2,-1,-1
20,4,36,66,2,-1,-1
4,21,28,62,2,-1,-1
21,4,28,62,2,-1,-1
5,6,49,44,2,-1,-1
6,5,49,44,2,-1,-1
5,11,17,79,2,-1,-1
11,5,17,79,2,-1,-1
5,12,49,53,2,-1,-1
12,5,49,53,2,-1,-1
5,13,55,82,2,-1,-1
13,5,55,82,2,-1,-1
5,15,11,49,2,-1,-1
15,5,11,49,2,-1,-1
5,16,48,48,2,-1,-1
16,5,48,48,2,-1,-1
6,9,16,64,2,-1,-1
9,6,16,64,2,-1,-1
6,10,55,32,2,-1,-1
10,6,55,32,2,-1,-1
6,12,6,27,2,-1,-1
12,6,6,27,2,-1,-1
6,15,38,48,2,-1,-1
15,6,38,48,2,-1,-1
6,17,44,36,2,-1,-1
17,6,44,36,2,-1,-1
6,19,19,70,2,-1,-1
19,6,19,70,2,-1,-1
7,9,56,72,2,-1,-1
9,7,56,72,2,-1,-1
7,11,29,76,2,-1,-1
11,7,29,76,2,-1,-1
7,15,48,37,2,-1,-1
15,7,48,37,2,-1,-1
7,16,7,50,2,-1,-1
16,7,7,50,2,-1,-1
7,21,16,68,2,-1,-1
21,7,16,68,2,-1,-1
8,10,34,65,2,-1,-1
10,8,34,65,2,-1,-1
8,12,25,86,2,-1,-1
12,8,25,86,2,-1,-1
8,13,56,37,2,-1,-1
13,8,56,37,2,-1,-1
8,14,29,54,2,-1,-1
14,8,29,54,2,-1,-1
8,15,11,46,2,-1,-1
15,8,11,46,2,-1,-1
8,21,44,61,2,-1,-1
21,8,44,61,2,-1,-1
9,11,58,31,2,-1,-1
11,9,58,31,2,-1,-1
9,12,22,63,2,-1,-1
12,9,22,63,2,-1,-1
9,15,46,62,2,-1,-1
15,9,46,62,2,-1,-1
9,16,52,71,2,-1,-1
16,9,52,71,2,-1,-1
9,17,28,70,2,-1,-1
17,9,28,70,2,-1,-1
9,19,3,54,2,-1,-1
19,9,3,54,2,-1,-1
