from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,19,71,2,-1,-1
0,3,40,51,2,-1,-1
0,4,9,20,2,-1,-1
0,5,12,66,2,-1,-1
0,8,8,51,2,-1,-1
0,10,26,57,2,-1,-1
0,11,22,40,2,-1,-1
0,12,31,69,2,-1,-1
0,15,34,49,2,-1,-1
0,17,10,39,2,-1,-1
0,18,25,45,2,-1,-1
1,2,15,25,2,-1,-1
1,3,36,12,2,-1,-1
1,5,16,88,2,-1,-1
1,7,19,67,2,-1,-1
1,9,23,0,2,-1,-1
1,10,25,70,2,-1,-1
1,13,12,60,2,-1,-1
1,17,15,83,2,-1,-1
1,18,27,60,2,-1,-1
1,19,20,41,2,-1,-1
1,20,47,98,2,-1,-1
2,3,26,41,2,-1,-1
2,6,27,69,2,-1,-1
2,7,9,36,2,-1,-1
2,9,27,74,2,-1,-1
2,11,19,55,2,-1,-1
2,12,13,57,2,-1,-1
2,15,15,41,2,-1,-1
2,16,46,75,2,-1,-1
2,17,29,47,2,-1,-1
2,20,35,53,2,-1,-1
3,5,53,26,2,-1,-1
3,6,44,69,2,-1,-1
3,11,45,52,2,-1,-1
3,12,14,18,2,-1,-1
3,15,13,49,2,-1,-1
3,18,48,42,2,-1,-1
4,5,13,12,2,-1,-1
4,7,32,12,2,-1,-1
4,8,1,33,2,-1,-1
4,13,13,26,2,-1,-1
4,15,41,52,2,-1,-1
4,17,11,65,2,-1,-1
4,18,16,38,2,-1,-1
4,19,15,91,2,-1,-1
4,21,56,84,2,-1,-1
5,7,31,41,2,-1,-1
5,9,20,63,2,-1,-1
5,11,25,43,2,-1,-1
5,12,43,33,2,-1,-1
5,13,24,34,2,-1,-1
5,16,29,68,2,-1,-1
5,17,1,48,2,-1,-1
5,18,28,32,2,-1,-1
5,19,3,41,2,-1,-1
6,9,32,64,2,-1,-1
6,10,26,46,2,-1,-1
6,13,49,57,2,-1,-1
6,14,38,69,2,-1,-1
6,15,30,51,2,-1,-1
6,16,47,61,2,-1,-1
6,18,66,53,2,-1,-1
7,9,22,47,2,-1,-1
7,11,12,76,2,-1,-1
7,14,30,69,2,-1,-1
7,17,30,68,2,-1,-1
7,19,33,65,2,-1,-1
7,21,26,10,2,-1,-1
8,12,37,56,2,-1,-1
8,14,35,60,2,-1,-1
8,15,40,35,2,-1,-1
8,16,41,28,2,-1,-1
8,17,11,63,2,-1,-1
8,19,15,53,2,-1,-1
9,10,6,25,2,-1,-1
9,11,9,25,2,-1,-1
9,16,18,42,2,-1,-1
9,17,20,21,2,-1,-1
9,18,46,68,2,-1,-1
